name_of_drug,use_case_for_drug,review_by_patient
Stadol,Labor Pain,"""I was put in the hospital a month before the delivery of my twins, and stadol worked great for contractions. It also helped me sleep a lot better."""
Ambien,Insomnia,"""I&#039;ve had horrible insomnia since I was a child. Diagnosed with severe sleep apnea a few years ago.  Ambien is not the holy grail.  You build up a tolerance over the years but 12.5 is as high as most doctors will go ) from 10, 8 years ago).  Pluses for Ambien - it will put you to sleep; no half-life so no grogginess in the morning.  Minuses- it will put you to sleep but generally not keep you asleep.  Thus the waking up wide awake at 3 a.m.  There is now intermezzo - and sublingual 3.5 dose of Ambien meant for  this problem - works for me 50% of the time- otherwise I just stay up.  Another minus - if you take Ambien on a full stomach IT WILL NOT WORK. I generally eat before 5 and allow 5 hours before I take it.  But in all - a savior!"""
Amitriptyline,Pain,"""I&#039;m 20 years old and have both fibromyalgia and rheumatoid arthritis. I also use amitriptyline to treat my depression and my sleep. Before my rheumatologist prescribed this, I went through numerous other things which all caused me to get horrible headaches, stomach problems, and did nothing for my depression. 

I sleep well pretty much every night and I dont wake up feeling groggy, I dont have as many &#039;bad body days&#039; anymore, and I feel way better emotionally."""
Tri-Sprintec,Birth Control,"""Been on this pill for 6 months now. Never had any problems like everyone else. I always had trouble with my periods; lasted 8 days, super heavy, sick when I started and bad cramps. Plus my period lasts only 4 days. The only side effects I have is light cramps and not as hungry anymore. I weighed 160lbs and now weigh 147lbs. I love this pill and will continue taking it."""
Diphenhydramine,Allergic Reactions,"""I have had allergy all my life, pretty severe and I live in allergy heaven in TX. I have tried Everything and for me, benedryl is still the best.
I work and it does not effect me, I often take it several times a day."""
Ziprasidone,Bipolar Disorde,"""I&#039;ve taken it for only 3 days and a haff. It has positive affect for my bipolar. the 1st day I was so scared and wanted to give up because of drowsiness and tiress, nightmare (40mg mornig and 40mg afternoon). but after I cut the dose down (40mg/ night only)  everything&#039;s gone good. I&#039;ve got feelings of happiness which I&#039;ve lost for long time!!! I think it works for depression combine bibolar. but the problem that it make me difficuty to feel asleep. I coudn&#039;t sleep early, woke up until 2am!!! I&#039;m looking to see my doctor soon."""
St. john's wort,Depression,"""I am taking this along with Buspar for my anxiety and depression. I only had anxiety so I was only taking Buspar, but it seems as though Buspar took away the anxiety and brought on depression. I&#039;m against taking SSRI&#039;s or other antidepressants, so I asked my doctor first about possible interactions, then bought some St. John&#039;s Wort. Ever since, it hasn&#039;t happened to me anymore. I also have no side effects at all from it. Some people say it will give u headaches, but I&#039;ve never had one. I personally believe that if u truly need this, there will be no headaches because your body needs it. But who knows, that&#039;s just my personal opinion :) it doesn&#039;t hurt to try it!"""
BuSpar,Anxiety,"""I&#039;ve been taking 15 mg 2x/day with good results.  My social anxiety has improved and I am sleeping much better.  I have been taking Ambien almost every night for the past 4 years and now down to less than 1x/week.  That to me has made it worth it."""
Camrese,Birth Control,"""I am on the 3rd sheet of pills so about 3 months in... before taking i weighed 120 now I am 130... feel depressed, just this week started to get brown discharge and thick red blood clots, try to take the pill everyday with my coffee but I was an hour off a few times, my boobs grew from C to double DD I don&#039;t mind but I do feel bloated and have had a couple angry depressed days..not sure its worth these symptoms but before I had such bad cramps n migraines was in bed every month for 2 days at least. Plus I thought only being 29 having early menopause with hot flashes n migraines this would help me... not sure yet. Staying on for another week or soo see what happens and the weight gain for me is the worst I don&#039;t fit in my pants, plus need new bras."""
Levonorgestrel,Birth Control,"""I have had Skyla for about two months now. I have had spotting everyday, some light days and then experience some heavy days. It is really uncomfortable being on my period for two months now because I can&#039;t wear any of my cute undies and have to stay in these dreadful undies so my nice ones won&#039;t get ruined! As of right now, I hate my IUD. I wish I would have gotten the pill but I know I wouldn&#039;t remember taking it everyday. I hope in this next month the spotting and mild cramping goes away! Definitely going to call my doc and ask if it&#039;s normal to have your period for almost 2 months. Hope this helps some of you!!"""
Acetaminophen / oxycodone,Pain,"""I have chronic back pain.  I take this medication as needed.  This medicine has allowed me to go back to enjoying children, gardening, camping, etc.  I have small children so this medication really helps with pain while allowing me to be fully functional as well.  Doesn&#039;t make me loopy or nauseous.  This has been a wonder-drug for me."""
Iloperidone,Psychosis,"""Just recently started taking this for depression, bipolar, insomnia and anxiety. I feel so tired and groggy feeling."""
Victoza,"Diabetes, Type 2","""Didn&#039;t do bad on .06 the first week but still had a strong urge to eat. Had diarrhea and headaches. Then I started 1.2 two days ago and today I was so nauseated I prayed to vomit. Then I started vomiting and it won&#039;t stop. I take medication other than victoza every night at bedtime including metformin and a few minutes ago I threw up most of my pills from last night still intact but swollen. The food from 4 days ago smelled like roadkill. I fear how long it will be before someone dies of an overdose from old medication in their stomach not digesting in time for future doses. It&#039;s been more than 20 hours since I ingested anything but water and a vanilla breakfast shake. I will not be taking my regular meds tonight. Victoza is out!!!!!!"""
Levonorgestrel,Emergency Contraception,"""After reading so many reviews in the past couple of weeks, I felt I needed to write one given my unusual experience.  I had unprotected sex the first week of December, I took Plan B within 12hrs and felt completely fine.  4 days later I bled very heavily for 4 or 5 days, and figured I safe.  Then my period never came, took 2 pregnancy tests both were negative but I got so paranoid once I was a week late I went to the doctor and had a blood test, also negative, but with still no period and &quot;pregnancy symptoms&quot; I was still very concerned. FINALLY 11 days late I started my period.  Plan B can definitely throw your system very out of whack, so moral of the story if you&#039;re anything like me try and relax!"""
Oracea,Rosacea,"""Since I have used this medication so long, years and years, I believe it has improved my rosacea. I&#039;m not willing to stop taking Oracea to find out. As far as the stomach ache associated with this pill, I found that taking it at night prevents the stomach upset symptoms. One review mentioned burning on the lips and tongue, I have experienced this side effect very very much, however, I didn&#039;t realize this pill may be the reason. Again, if this pills causes the lips, mouth area and tongue to have a burning sensation I&#039;m not sure I would stop taking the Oracea, although that is one terrible side effect. Overall, I will continue taking Oracea."""
Ethinyl estradiol / norgestimate,Birth Control,"""I&#039;ve waited out the three month wait time of absolute hell. Since starting Tri Sprintec my anxiety is through the roof, which exacerbates my depression to the point of me having suicidal thoughts on a daily basis. I can&#039;t wait to see my doctor and switch to a new pill. At 25 yo my acne had subsided from the teenage years, but since I was started on Tri Sprintec it has come back. I thought maybe it would just come and go around the time of my period. Nope. Still here and even more coming in. I feel like I am back to being a teenager again with this acne and crazy mood swings. I am crying over anything and everything. Maybe these side effects will go away in more time but I can&#039;t handle this any longer to find out."""
